timestamp,elapsed_s,FUEL_SYSTEM_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,MAF,THROTTLE_POS,EVAP_PURGE,FUEL_LEVEL,WARMUPS_SINCE_CLEAR,DIST_SINCE_CLEAR,BAROMETRIC,CATALYST_TEMP_B1S1,CATALYST_TEMP_B1S2,CONTROL_VOLTAGE,AMBIENT_TEMP,RUN_TIME,DIST_WITH_MIL,TIME_WITH_MIL,TIME_SINCE_CLEAR,ENGINE_TORQUE_PCT,ENGINE_REF_TORQUE,DRIVER_TORQUE_PCT,INJECTION_CTRL_PRESSURE_A,PM_SENSOR_B1,PM_SENSOR_B2,ODOMETER
2026-03-18T07:13:46.545,0.0,CL,22.7,26,2.34,-1.56,1061.5,0,3.5,10,4.93,17.3,0.0,85.9,255,4484,99,377.0,162.8,14.15,10,57,0,0,7802,9,288,,,980,0,92537.5
2026-03-18T07:13:49.130,2.58,CL,22.7,26,2.34,-1.56,1050.0,0,4.0,10,4.9,17.3,0.0,85.9,255,4484,99,379.9,166.2,14.13,10,59,0,0,7803,12,288,,,965,0,92537.5
2026-03-18T07:13:51.572,5.03,CL,23.1,28,2.34,-1.56,1130.2,0,1.5,10,5.09,17.3,0.0,85.9,255,4484,99,381.9,168.6,14.14,10,62,0,0,7803,8,288,,,980,0,92537.5
2026-03-18T07:13:53.872,7.33,CL,22.0,29,3.91,-1.56,1042.8,0,3.0,10,4.81,17.3,0.0,85.9,255,4484,99,383.7,170.8,14.13,10,64,0,0,7803,8,288,,,936,0,92537.5
2026-03-18T07:13:56.098,9.55,CL,22.0,30,3.12,-1.56,1036.5,0,9.0,11,4.39,16.9,0.0,85.9,255,4484,99,385.3,172.9,14.13,11,66,0,0,7803,8,288,,,926,0,92537.5
2026-03-18T07:13:58.201,11.66,CL,20.4,30,3.12,-1.56,1009.2,0,10.5,10,4.26,16.9,0.0,85.9,255,4484,99,386.7,174.8,14.13,11,68,0,0,7803,8,288,,,933,0,92537.5
2026-03-18T07:14:00.434,13.89,CL,20.4,31,3.91,-1.56,996.0,0,9.5,11,4.17,16.9,0.0,83.9,255,4484,99,387.9,176.6,14.12,10,70,0,0,7803,8,288,,,935,0,92537.5
2026-03-18T07:14:02.661,16.12,CL,20.4,31,3.12,-1.56,985.8,0,9.0,10,4.26,16.9,0.0,85.5,255,4484,99,389.0,179.0,14.12,10,73,0,0,7803,8,288,,,913,0,92537.5
2026-03-18T07:14:04.937,18.39,CL,20.4,31,3.12,-1.56,984.2,0,9.0,11,4.25,16.9,0.0,86.3,255,4484,99,390.5,180.5,14.13,10,75,0,0,7803,8,288,,,918,0,92537.5
2026-03-18T07:14:07.286,20.74,CL,20.0,32,3.91,-1.56,989.0,0,9.0,11,4.07,16.9,0.0,85.9,255,4484,99,391.4,182.1,14.12,10,77,0,0,7803,8,288,,,933,0,92537.5
